Name,Team,Position,Height,Weight,yds
Jorge Posada,NYY,C,74,205,23
Wil Nieves,NYY,C,71,190,"""2"""
Andy Phillips,NYY,1B,72,205,"""1"""
Doug Mientkiewicz,NYY,1B,74,206,"""1"""
Josh Phelps,NYY,1B,75,220,"""1"""
Miguel Cairo,NYY,2B,73,208,22
Robinson Cano,NYY,2B,72,170,"""1"""
Derek Jeter,NYY,SS,75,195,"""1"""
Alex Rodriguez,NYY,3B,75,210,"""1"""
Johnny Damon,NYY,OF,74,190,"""2"""
Bobby Abreu,NYY,OF,72,211,"""1"""
Hideki Matsui,NYY,OF,74,230,"""1"""
Melky Cabrera,NYY,OF,71,170,"""1"""
Kevin Thompson,NYY,OF,70,185,"""1"""
Jason Giambi,NYY,DH,75,230,"""1"""
Mike Mussina,NYY,P,74,185,24
Carl Pavano,NYY,P,77,241,"""1"""
Andy Pettitte,NYY,P,77,225,"""2"""
Darrell Rasner,NYY,P,75,210,"""1"""
Jeff Karstens,NYY,P,75,175,"""1"""
Humberto Sanchez,NYY,P,78,230,"""2"""
Chien-Ming Wang,NYY,P,75,200,"""1"""
Sean Henn,NYY,P,76,215,"""2"""
Scott Proctor,NYY,P,73,198,22
Brian Bruney,NYY,P,75,226,21
Chris Britton,NYY,P,75,278,"""1"""
T.J. Beam,NYY,P,79,215,"""1"""
Jose Veras,NYY,P,77,230,"""2"""
Kyle Farnsworth,NYY,P,76,240,"""1"""
Luis Vizcaino,NYY,P,71,184,"""1"""
Mike Myers,NYY,P,75,219,"""2"""
Mariano Rivera,NYY,P,74,170,"""1"""
